-BEGIN HEADER-,,
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,
Dates (month/day/year): 01/01/2022 through 12/31/2022 ,,
Location: Latitude  40.751   Longitude -92.4144 ,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 245.0 meters,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,
Parameter(s): ,,
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) ,,
-END HEADER-,,
YEAR,DOY,PRECTOTCORR
2022,145,8.01
2022,146,5.01
2022,147,0.05
2022,148,0
2022,149,0
2022,150,2.15
2022,151,6.69
2022,152,2.35
2022,153,0
2022,154,0
2022,155,0.32
2022,156,8.56
2022,157,11.96
2022,158,0.36
2022,159,20.4
2022,160,0.41
2022,161,5.43
2022,162,0.86
2022,163,0.32
2022,164,0.29
2022,165,0.36
2022,166,3.87
2022,167,3.26
2022,168,4.76
2022,169,0.01
2022,170,0.38
2022,171,0.72
2022,172,9.23
2022,173,0.01
2022,174,0.07
2022,175,9.25
2022,176,3.98
2022,177,0.02
2022,178,0
2022,179,2.73
2022,180,0
2022,181,0.03
2022,182,2.96
2022,183,0
2022,184,0.09
2022,185,2.81
2022,186,5.39
2022,187,15.25
2022,188,11.16
2022,189,5.5
2022,190,0.03
2022,191,0.33
2022,192,1.46
2022,193,0
2022,194,0
2022,195,0.72
2022,196,5.25
2022,197,2.57
2022,198,1.37
2022,199,0
2022,200,0
2022,201,0
2022,202,0.17
2022,203,0.23
2022,204,0.34
2022,205,0.77
2022,206,1.74
2022,207,0.42
2022,208,0.98
2022,209,0.04
2022,210,0
2022,211,0
2022,212,0.1
2022,213,0.3
2022,214,0.78
2022,215,4.65
2022,216,0.04
2022,217,0
2022,218,0.02
2022,219,0.87
2022,220,2.82
2022,221,0.44
2022,222,0.05
2022,223,0.81
2022,224,0.6
2022,225,0
2022,226,0
2022,227,10.67
2022,228,0.77
2022,229,0.01
2022,230,1.23
2022,231,4.37
2022,232,2.24
2022,233,0.03
2022,234,0
2022,235,0
2022,236,0.18
2022,237,0.07
2022,238,0
2022,239,4.2
2022,240,2.7
2022,241,2.24
2022,242,0
2022,243,0
2022,244,0.15
2022,245,0.37
2022,246,0.45
2022,247,0.13
2022,248,0
2022,249,0
2022,250,0
2022,251,0
2022,252,0
2022,253,21.93
2022,254,3.3
2022,255,0
2022,256,0
2022,257,0
2022,258,0
2022,259,0.24
2022,260,38.11
2022,261,14.74
2022,262,0.08
2022,263,0.93
2022,264,0.95
2022,265,0.02
2022,266,3.57
2022,267,0.14
2022,268,0
2022,269,0
2022,270,0
2022,271,0
2022,272,0
2022,273,0
2022,274,0
2022,275,0
2022,276,0
2022,277,0
2022,278,1.91
2022,279,0.05
2022,280,0
2022,281,0
2022,282,0.22
2022,283,0.74
2022,284,3.53
2022,285,0.67
2022,286,0
2022,287,0.4
2022,288,0
2022,289,0
2022,290,0
2022,291,0
2022,292,0
2022,293,0
2022,294,0
2022,295,0
2022,296,0.76
2022,297,29.3
2022,298,0.92
2022,299,0.05
2022,300,0
2022,301,0
2022,302,0
2022,303,0.13
2022,304,0.08
2022,305,0
2022,306,0
2022,307,0.02
2022,308,44.11
2022,309,12.67
2022,310,0
2022,311,0
2022,312,0
2022,313,0.01
2022,314,9
2022,315,5.94
2022,316,0
2022,317,0
2022,318,0.67
2022,319,3.12
2022,320,0.11
2022,321,0.07
2022,322,0.01
2022,323,0
2022,324,0
2022,325,0
2022,326,0
2022,327,0.03
2022,328,0.41
2022,329,0.01
2022,330,0.02
2022,331,3.12
2022,332,0
2022,333,0.01
2022,334,0
2022,335,0.02
2022,336,0.52
2022,337,0
2022,338,0
2022,339,0.08
2022,340,0.23
2022,341,0.18
2022,342,7.83
2022,343,2.49
2022,344,0.33
2022,345,0.21
2022,346,0.26
2022,347,21.46
2022,348,0.29
2022,349,0.52
2022,350,0.47
2022,351,0.25
2022,352,0
2022,353,0.41
2022,354,0.02
2022,355,6.06
2022,356,3.69
2022,357,0.19
2022,358,0
2022,359,1.64
2022,360,1.67
2022,361,0
2022,362,0
2022,363,0.36
2022,364,0
2022,365,3.19
